Item ,Sim-Plaqueta,Não-Plaqueta,TOMBO,DESCRIÇÃO,Nº DE SÉRIE,UNIDADE ADMINISTRATIVA,DEPARTAMENTO,SALA,LOCALIZADO,Estado de Conservação,,,,Classificação,,,,,
21323,X,,47556,"MULTIFUNCIONAL,SCANNER,FAX,IMPRESSORA OFFICEJET PRO 8600 HP/HP/OFFICE PRO 8600",000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,ADMINISTRAÇÃO,,,,,,X,,X,,,X,
21324,X,,47557,"MULTIFUNCIONAL,SCANNER,FAX,IMPRESSORA OFFICEJET PRO 8600 HP/HP/OFFICE PRO 8600",000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,ADMINISTRAÇÃO,,,,,,X,,X,,,X,
21325,X,,47558,"MULTIFUNCIONAL,SCANNER,FAX,IMPRESSORA OFFICEJET PRO 8600 HP/HP/OFFICE PRO 8600",000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,ADMINISTRAÇÃO,,,,,,X,,X,,,X,
22542,X,,9545,NOBREAK/SMS/NET STATION,273560019472,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,ADMINISTRAÇÃO,,,,,,X,,X,,,,X
1110,X,,47157,AR CONDICIONADO 12.000 BTUS (CONDENSADORA)ELETROLUX/ELETROLUX/SPLIT 12.000 BTUS,302AZVN811007,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,AREA EXTERNA,,,,X,,,X,,,,,
3391,X,,12701,ARQUIVO DE ACO //,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,AREA EXTERNA,,,,,,X,,X,,,,X
3392,X,,12719,ARQUIVO DE ACO //,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,AREA EXTERNA,,,,,,X,,X,,,,X
5568,X,,11135,"CADEIRA EM POLIETILENO, FIXA//",000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,AREA EXTERNA,,,,,,X,,X,,,,X
6173,X,,852,CADEIRA ESTOFADA FIXA/METALFRIZZO/,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,AREA EXTERNA,,,,,,X,,X,,,,X
6174,X,,880,CADEIRA ESTOFADA FIXA/METALFRIZZO/,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,AREA EXTERNA,,,,,,X,,X,,,,X
6422,X,,805,CADEIRA ESTOFADA GIRATORIA/METALFRIZZO/,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,AREA EXTERNA,,,,,,X,,X,,,,X
6423,X,,1008,CADEIRA ESTOFADA GIRATORIA/METALFRIZZO/,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,AREA EXTERNA,,,,,,X,,X,,,,X
18216,X,,9525,MESA EM MADEIRA PARA AUXILIAR//,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,AREA EXTERNA,,,,,,X,,X,,,,X
18299,X,,12458,MESA EM MADEIRA PARA DATILOGRAFO//,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,AREA EXTERNA,,,,,,X,,X,,,,X
1112,X,,47162,AR CONDICIONADO 12.000 BTUS (CONDENSADORA)ELETROLUX/ELETROLUX/SPLIT 12.000 BTUS,302AZJT80860,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO 2,,,,X,,,X,,,,,
7735,X,,24239,CADEIRA FIXA/FLEXFORM/SECRETARIA,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO 2,,,,X,,,X,,,,,
8828,X,,46062,CADEIRA GIRATÓRIA SECRETÁRIA 3004 BG INJ. AZUL MARINHO CAVALETTI /CAVALETTI/,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO 2,,,,X,,,X,,,,,
12264,X,,43395,CPU/ITAUTEC/INFOWAY ST-4272,4005949200042,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO 2,,,,X,,,X,,,,,
12603,X,,49310,CPU/LENOVO/,153484HUPPE94688   ,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO 2,,,,X,,,X,,,,,
12981,X,,45804,ESTAÇÃO DE TRABALHO 02 LUGARES MAPLE DUPLA OF1414 MA/MAPLE//OF1414,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO 2,,,,X,,,X,,,,,
20517,X,,36563,MONITOR DE VIDEO LCD/ITAUTEC/W1942PEU,2047876,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO 2,,,,X,,,X,,,,,
21071,X,,49428,MONITOR/LENOVO/,VB19810,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO 2,,,,X,,,X,,,,,
1111,X,,47159,AR CONDICIONADO 12.000 BTUS (CONDENSADORA)ELETROLUX/ELETROLUX/SPLIT 12.000 BTUS,302AZHY80865,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO I,,,,X,,,X,,,,,
2293,X,,9550,ARMARIO EM ACO TIPO GUARDA-ROUPA//,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO I,ARQUIVO,,,,X,,X,,,,,
2687,X,,40583,ARMARIO/ARTILINE/,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO I,ARQUIVO,,,,X,,X,,,,,
8819,X,,45806,CADEIRA GIRATÓRIA SECRETÁRIA 3004 BG INJ. AZUL MARINHO CAVALETTI /CAVALETTI/,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO I,,,,X,,,X,,,,,
8820,X,,45807,CADEIRA GIRATÓRIA SECRETÁRIA 3004 BG INJ. AZUL MARINHO CAVALETTI /CAVALETTI/,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO I,,,,X,,,X,,,,,
8821,X,,45844,CADEIRA GIRATÓRIA SECRETÁRIA 3004 BG INJ. AZUL MARINHO CAVALETTI /CAVALETTI/,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO I,,,,X,,,X,,,,,
8822,X,,45845,CADEIRA GIRATÓRIA SECRETÁRIA 3004 BG INJ. AZUL MARINHO CAVALETTI /CAVALETTI/,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO I,,,,X,,,X,,,,,
8823,X,,45846,CADEIRA GIRATÓRIA SECRETÁRIA 3004 BG INJ. AZUL MARINHO CAVALETTI /CAVALETTI/,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO I,,,,X,,,X,,,,,
8825,X,,45859,CADEIRA GIRATÓRIA SECRETÁRIA 3004 BG INJ. AZUL MARINHO CAVALETTI /CAVALETTI/,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO I,,,,X,,,X,,,,,
8826,X,,46060,CADEIRA GIRATÓRIA SECRETÁRIA 3004 BG INJ. AZUL MARINHO CAVALETTI /CAVALETTI/,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO I,,,,X,,,X,,,,,
9272,X,,24907,CADEIRA GIRATORIA/FLEXFORM/DIGITADOR,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO I,,,,X,,,X,,,,,
9273,X,,24908,CADEIRA GIRATORIA/FLEXFORM/DIGITADOR,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO I,,,,X,,,X,,,,,
10747,X,,48751,"COFRE ELETRONICO PARA GUARDA DE ARMAMENTO,PAINEL DE ACO,SENHA DE /COFRE DO BRASIL/TS 40 ID",SA201325195,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO I,ARQUIVO,,,,X,,X,,,,,
11817,X,,36384,CPU/ITAUTEC/INFOWAY ST 4271,4003504600265,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO I,,,,X,,,X,,,,,
12262,X,,43370,CPU/ITAUTEC/INFOWAY ST-4272,4005949100274,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO I,,,,X,,,X,,,,,
12600,X,,49305,CPU/LENOVO/,153484HUPPE95349   ,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO I,,,,X,,,X,,,,,
12602,X,,49309,CPU/LENOVO/,153484HUPPEM3672  ,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO I,,,,X,,,X,,,,,
12979,X,,45801,ESTAÇÃO DE TRABALHO 02 LUGARES MAPLE DUPLA OF1414 MA/MAPLE//OF1414,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO I,,,,X,,,X,,,,,
12980,X,,45803,ESTAÇÃO DE TRABALHO 02 LUGARES MAPLE DUPLA OF1414 MA/MAPLE//OF1414,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO I,,,,X,,,X,,,,,
12982,X,,45805,ESTAÇÃO DE TRABALHO 02 LUGARES MAPLE DUPLA OF1414 MA/MAPLE//OF1414,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO I,,,,X,,,X,,,,,
13239,X,,26391,ESTACAO DE TRABALHO//,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO I,,,,X,,,X,,,,,
13240,X,,26393,ESTACAO DE TRABALHO//,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO I,,,,X,,,X,,,,,
15151,X,,47421,FRIGOBAR REFRIGERADOR 122 LITROS BRANCO 110V RE120/ELETROLUX/,31001945,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO I,,,,X,,,X,,,,,
20014,X,,43824,MONITOR DE VIDEO LCD/ITAUTEC/E-2241,4700235001965,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO I,,,,X,,,X,,,,,
20017,X,,44309,MONITOR DE VIDEO LCD/ITAUTEC/E-2241,4700235001151,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO I,,,,X,,,X,,,,,
20518,X,,37001,MONITOR DE VIDEO LCD/ITAUTEC/W1942PEU,2046220,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO I,,,,X,,,X,,,,,
21069,X,,49425,MONITOR/LENOVO/,VB25548,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO I,,,,X,,,X,,,,,
21070,X,,49427,MONITOR/LENOVO/,VB20233,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO I,,,,X,,,X,,,,,
21072,X,,49429,MONITOR/LENOVO/,VB19820,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO I,,,,X,,,X,,,,,
21074,X,,49431,MONITOR/LENOVO/,VB20242,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO I,,,,X,,,X,,,,,
26254,X,,9883,SCANNER/FUJITSU/FI-6140,007423,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CARTÓRIO I,,,,X,,,X,,,,,
337,X,,16851,"AP.DE AR CONDICIONADO CENTRAL C/ CONDENSADORA/EVAPORADORA,24.000B/MIDEA/SPLIT",6120291,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,COMISSARIADO,,,,X,,,X,,,,,
8817,X,,45750,CADEIRA GIRATÓRIA SECRETÁRIA 3004 BG INJ. AZUL MARINHO CAVALETTI /CAVALETTI/,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,COMISSARIADO,,,,X,,,X,,,,,
12597,,X,49301,CPU/LENOVO/,153484HUPPE94569   ,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,COMISSARIADO,,,,X,,,X,,,,,
15861,X,,39125,GAVETEIRO/ARTILINE/,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,COMISSARIADO,,,,X,,,X,,,,,
16377,X,,37149,IMPRESSORA P/COMPUTADOR LASER MONOCROMATICA/HP/P4015N,BRDY985820,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,COMISSARIADO,,,,X,,,X,,,,,
20519,X,,37017,MONITOR DE VIDEO LCD/ITAUTEC/W1942PEU,2047873,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,COMISSARIADO,,,,X,,,X,,,,,
2034,X,,46113,ARMÁRIO DE AÇO DPL AR PORTAS DE VIDRO ALLEGRA TOP BRANCO BERTOLIN/BERTOLINI/,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,COZINHA,,,,X,,,X,,,,,
2035,X,,46114,ARMÁRIO DE AÇO DPL AR PORTAS DE VIDRO ALLEGRA TOP BRANCO BERTOLIN/BERTOLINI/,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,COZINHA,,,,X,,,X,,,,,
4255,X,,741,BEBEDOURO ELETRICO SEM GARRAFAO/ESMALTEC/,04092131006003,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,COZINHA,,,,X,,,X,,,,,
14988,X,,47214,"FOGÃO DE 04 BOCAS, A GÁS ACENDEDOR ELÉTRICO COM 04 QUEIMADORES/ESMALTEC/",000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,COZINHA,,,,X,,,X,,,,,
17918,X,,46077,MESA DE REUNIÃO REDONDA LG1200MRD DALPRA CINZA//,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,COZINHA,,,,X,,,X,,,,,
19241,X,,47242,MICROONDAS 31 LITROS./ELETROLUX/,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,COZINHA,,,,X,,,X,,,,,
20334,X,,15625,MONITOR DE VIDEO LCD/ITAUTEC/L-1753T,J776601265005,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,COZINHA,,,,,X,,,X,X,,,
21073,X,,49430,MONITOR/LENOVO/,VB20248,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,COZINHA,,,,X,,,,X,X,,,
25772,X,,47305,REFRIGERADOR FROST FREE DUPLEX 345L BRANCO CONSUL/CONSUL/CRM37EB 110V,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,COZINHA,,,,X,,,X,,,,,
20335,X,,15646,MONITOR DE VIDEO LCD/ITAUTEC/L-1753T,J776601268258,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CPD,,,,X,,,X,,,,,
24628,X,,5605,RACK DE DISTRIBUICAO//,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CPD,,,,X,,,X,,,,,
26831,X,,18504,SWITCH/3COM/2226-SFP,QNC87441,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,CPD,,,,X,,,X,,,,,
4150,X,,47760,"BARCO APOLUS 600 TRACKER C/REMO,COR PRETA ANO 2013, 6 MTS,ALUM.LO/LEVEFORT/RIO BRANCO",339088,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,GARAGEM,,,,X,,,X,,,,,
21211,X,,47761,"MOTOR F40 FTL 4 TEMPOS COR CINZA GASOLINA,6BG-1031850,ANO/MOD. 20/YAMAHA/",031850,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,GARAGEM,,,,X,,,X,,,,,
25716,X,,47762,"REBOQUE,COR CINZA,GOLD LINE 05/REBOCAR/GOLD LINE 05",008300,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,GARAGEM,,,,X,,,X,,,,,
2140,X,,10150,ARMÁRIO EM AÇO,,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,IDENTIFICAÇÃO,,,,X,,,X,,,,,
3279,X,,12706,ARQUIVO DE ACO //,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,IDENTIFICAÇÃO,,,,X,,,X,,,,,
9270,X,,24541,CADEIRA GIRATORIA/FLEXFORM/DIGITADOR,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,IDENTIFICAÇÃO,,,,X,,,X,,,,,
12263,X,,43393,CPU/ITAUTEC/INFOWAY ST-4272,4006234000069,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,IDENTIFICAÇÃO,,,,X,,,X,,,,,
15322,X,,630,GAVETEIRO EM MADEIRA//,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,IDENTIFICAÇÃO,,,,X,,,X,,,,,
16931,X,,46203,KIT BIO - (SCANNER) DISPOSITIVO DE CAPTURA DIGITAIS/AKIYAMA SUPREMA/REALSCAND D.,RSDC51313,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,IDENTIFICAÇÃO,,,,X,,,X,,,,,
17018,X,,46358,KIT CENÁRIO/AKIYAMA/,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,IDENTIFICAÇÃO,,,,X,,,X,,,,,
20016,X,,44304,MONITOR DE VIDEO LCD/ITAUTEC/E-2241,4700235001199,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,IDENTIFICAÇÃO,,,,X,,,X,,,,,
22550,X,,22986,NOBREAK/SMS/NET WINNER,0006749,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,IDENTIFICAÇÃO,,,,X,,,X,,,,,
8824,X,,45847,CADEIRA GIRATÓRIA SECRETÁRIA 3004 BG INJ. AZUL MARINHO CAVALETTI /CAVALETTI/,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,REGISTRO DE OCORRÊNCIA PM,,,,X,,,X,,,,,
13238,X,,25690,ESTACAO DE TRABALHO//,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,REGISTRO DE OCORRÊNCIA PM,,,,X,,,X,,,,,
21527,X,,48489,NO BREAK 1400VA INTERATIVO C/REGULARIZAÇÃO ON LINE MICROPROCESSAD/SMS/,272850012231,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,REGISTRO DE OCORRÊNCIA PM,,,,,,X,,X,,,,X
21528,,X,48570,NO BREAK 1400VA INTERATIVO C/REGULARIZAÇÃO ON LINE MICROPROCESSAD/SMS/,272850012209,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,REGISTRO DE OCORRÊNCIA PM,,,,,,X,,X,,,,X
21848,X,,45228,"NOBREAK 1400VA,60HZ,BIVOLT AUTOMÁTICO,05 TOMADAS,50 MIN.AUTONOMIA/SMS/MENAGER III",000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,REGISTRO DE OCORRÊNCIA PM,,,,,,X,,X,,,,X
21987,X,,37283,"NOBREAK 1400VA,BIVOLT,AUTOMATICO,COR PRETA/SMS/MENAGER-III",275410002207,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,REGISTRO DE OCORRÊNCIA PM,,,,,,X,,X,,,,X
22483,X,,37320,NOBREAK/SMS/MENAGER-III,275410002093,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,REGISTRO DE OCORRÊNCIA PM,,,,,,X,,X,,,,X
22484,X,,37330,NOBREAK/SMS/MENAGER-III,275410002107,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,REGISTRO DE OCORRÊNCIA PM,,,,,,X,,X,,,,X
22485,X,,37386,NOBREAK/SMS/MENAGER-III,275410002125,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,REGISTRO DE OCORRÊNCIA PM,,,,,,X,,X,,,,X
22543,,X,9546,NOBREAK/SMS/NET STATION,273560019462,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,REGISTRO DE OCORRÊNCIA PM,,,,,,X,,X,,,,X
22591,X,,22718,NOBREAK/SMS/NET WINNER,0008612,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,REGISTRO DE OCORRÊNCIA PM,,,,,,X,,X,,,,X
22592,X,,22793,NOBREAK/SMS/NET WINNER,0008888,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,REGISTRO DE OCORRÊNCIA PM,,,,,,X,,X,,,,X
22593,X,,22827,NOBREAK/SMS/NET WINNER,0008673,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,REGISTRO DE OCORRÊNCIA PM,,,,,,X,,X,,,,X
22594,,X,22984,NOBREAK/SMS/NET WINNER,0006743,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,REGISTRO DE OCORRÊNCIA PM,,,,,,X,,X,,,,X
22595,X,,22985,NOBREAK/SMS/NET WINNER,0008661,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,REGISTRO DE OCORRÊNCIA PM,,,,,,X,,X,,,,X
3278,X,,9666,ARQUIVO DE ACO //,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,SALA DE RECONHECIMENTO,,,,,X,,X,,,,,
994,X,,15170,APARELHO G.P.S/GARMIN/OREGON-550,1MW105893,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,SEVIC,,,,X,,,X,,,,,
995,X,,15203,APARELHO G.P.S/GARMIN/OREGON-550,1MW106635,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,SEVIC,,,,X,,,X,,,,,
996,,X,15205,APARELHO G.P.S/GARMIN/OREGON-550,1MW105481,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,SEVIC,,,,X,,,X,,,,,
997,X,,15206,APARELHO G.P.S/GARMIN/OREGON-550,1MW106616,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,SEVIC,,,,X,,,X,,,,,
1129,X,,47060,AR CONDICIONADO 12.000 BTUS (EVAPORADORA)ELETROLUX/ELETROLUX/SPLIT 12.000 BTUS,302AZUJ85774,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,SEVIC,,,,X,,,X,,,,,
2688,X,,40649,ARMARIO/ARTILINE/,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,SEVIC,,,,X,,,X,,,,,
8827,X,,46061,CADEIRA GIRATÓRIA SECRETÁRIA 3004 BG INJ. AZUL MARINHO CAVALETTI /CAVALETTI/,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,SEVIC,,,,X,,,X,,,,,
8829,X,,46063,CADEIRA GIRATÓRIA SECRETÁRIA 3004 BG INJ. AZUL MARINHO CAVALETTI /CAVALETTI/,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,SEVIC,,,,X,,,X,,,,,
8831,X,,46442,CADEIRA GIRATÓRIA SECRETÁRIA 3004 BG INJ. AZUL MARINHO CAVALETTI /CAVALETTI/,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,SEVIC,,,,X,,,X,,,,,
9271,,X,24881,CADEIRA GIRATORIA/FLEXFORM/DIGITADOR,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,SEVIC,,,,X,,,X,,,,,
10730,X,,47206,COFRE ELETRÔNICO P/GUARDA DE MATERIAIS SIGILOSOS/TECHNER/,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,SEVIC,,,,X,,,X,,,,,
10735,X,,46654,COFRE ELETRONICO PARA ARMAMENTO/IDEAL COFRES/,000000,ALTA FLORESTA- DELEGACIA DE POLICIA CIVIL,SEVIC,,,,X,,,X,,,,,
