DEPARTAMENTO,TOMBAMENTO,TOMBAMENTO SINVREA,DESCRIÇÃO DO BEM,REF. CONTÁBIL,ESTADO DE CONSERVAÇÃO,CLASSIFICAÇÃO DO BEM,RELACIONADO,DESCRIÇÃO AQUISIÇÃO,VALOR TABELA VIPE,,,
DELEGACIA GERAL ,21,512384,MESA ( REDONDA / OVAL / QUADRADA ) / ESTAÇÃO DE TRABALHO,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,22,512368,MESA ( REDONDA / OVAL / QUADRADA ) / ESTAÇÃO DE TRABALHO,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,23,512412,MESA ( REDONDA / OVAL / QUADRADA ) / ESTAÇÃO DE TRABALHO,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,24,512420,MESA ( REDONDA / OVAL / QUADRADA ) / ESTAÇÃO DE TRABALHO,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,25,512427,MESA ( REDONDA / OVAL / QUADRADA ) / ESTAÇÃO DE TRABALHO,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,26,512456,MESA ( REDONDA / OVAL / QUADRADA ) / ESTAÇÃO DE TRABALHO,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,27,512479,MESA ( REDONDA / OVAL / QUADRADA ) / ESTAÇÃO DE TRABALHO,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,28,512493,MESA ( REDONDA / OVAL / QUADRADA ) / ESTAÇÃO DE TRABALHO,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,29,512466,MESA ( REDONDA / OVAL / QUADRADA ) / ESTAÇÃO DE TRABALHO,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,30,512697,ARMÁRIO / ARMÁRIO EDUCACIONAL PARA NOTEBOOKS,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,31,512717,ARMÁRIO / ARMÁRIO EDUCACIONAL PARA NOTEBOOKS,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,32,512741,ARMÁRIO / ARMÁRIO EDUCACIONAL PARA NOTEBOOKS,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,33,512726,ARMÁRIO / ARMÁRIO EDUCACIONAL PARA NOTEBOOKS,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,34,512774,ARMÁRIO / ARMÁRIO EDUCACIONAL PARA NOTEBOOKS,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,35,512780,ARMÁRIO / ARMÁRIO EDUCACIONAL PARA NOTEBOOKS,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,36,512827,ARMÁRIO / ARMÁRIO EDUCACIONAL PARA NOTEBOOKS,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,37,512884,ARMÁRIO / ARMÁRIO EDUCACIONAL PARA NOTEBOOKS,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,38,512967,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,39,513056,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,40,513083,ARQUIVO/ ARMÁRIO DESLIZANTE,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,41,513252,BALCÃO / BALCÃO DE ATENDIMENTO / SUPERFÍCIE PARA ATENDIMENTO AO PÚBLICO,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,42,513286,GAVETEIRO,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,43,513503,GAVETEIRO,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,44,513593,MESA, ARMÁRIO DE CABECEIRA,1.2.3.1.1.01.03,"1736,72",SERVÍVEL,NÃO,COMPRA,,,
DELEGACIA GERAL ,45,513700,MESA ( REDONDA / OVAL / QUADRADA ) / ESTAÇÃO DE TRABALHO,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,46,513759,MESA ( REDONDA / OVAL / QUADRADA ) / ESTAÇÃO DE TRABALHO,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,47,513890,BALCÃO / BALCÃO DE ATENDIMENTO / SUPERFÍCIE PARA ATENDIMENTO AO PÚBLICO,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,54,514023,PURIFICADOR, FILTRO, DEIONIZADOR DE ÁGUA,BOM,"2339,9","1520,94",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA ESPECIALIZADA - DPE,55,500623,BEBEDOURO,1.2.3.1.1.03.01,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DEPARTAMENTO DE POLÍCIA ESPECIALIZADA - DPE,56,500699,FORNO ELÉTRICO, A GÁS, MICROONDAS,363,"235,95",SERVÍVEL,NÃO,COMPRA,,
DEPARTAMENTO DE POLÍCIA ESPECIALIZADA - DPE,57,500944,GELADEIRA, REFRIGERADOR, FRIGOBAR,"933,13","606,53",SERVÍVEL,NÃO,COMPRA,,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,58,458387,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,59,458396,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,60,458473,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,61,458581,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,62,458600,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,63,458578,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,64,458621,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,65,458613,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,66,458640,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,67,458646,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,68,458650,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,69,458653,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,70,458660,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,71,458668,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,72,458671,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,73,458675,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,74,458682,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,75,458686,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,76,458688,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,77,458692,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,78,458695,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,79,458721,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,80,458731,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,81,458739,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,82,458741,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,83,458748,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,84,458752,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,85,458756,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,86,458716,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,87,458783,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,88,458785,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,89,458824,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,90,458793,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,91,458836,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,92,458840,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,93,458861,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,94,458848,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,95,458866,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,96,458871,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,97,458859,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,98,458883,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,99,458887,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,100,458894,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,101,458898,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,102,458906,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,103,458933,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,104,458941,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,105,458946,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,106,458949,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DEPARTAMENTO DE POLÍCIA METROPOLITANA - DEPOM,107,458957,ARQUIVO, ARQUIVO MÓVEL, FICHÁRIO,BOM,"236,31","153,6",SERVÍVEL,NÃO,COMPRA,
DELEGACIA GERAL ,111,514146,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,112,514251,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,113,514265,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,114,514277,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,115,514285,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,116,514310,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,117,514316,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,118,514321,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,119,514295,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,120,514296,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,121,514332,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,122,514338,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,123,514342,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,124,514352,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,125,514364,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,126,514367,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,127,514374,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,128,514378,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,129,514953,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,130,514961,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,132,514983,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,133,514966,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,134,514991,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,135,515009,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,136,515010,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,137,515012,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,138,515016,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,139,515018,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,140,515000,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,141,515002,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,142,515030,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,144,515034,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,145,515038,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,146,515044,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,147,515048,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,148,515069,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,149,515053,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,150,515054,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,151,515055,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,152,515074,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,153,515075,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,154,515062,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
DELEGACIA GERAL ,155,515092,CADEIRA UNIVERSITÁRIA/CARTEIRA,1.2.3.1.1.03.03,BOM,SERVÍVEL,NÃO,COMPRA,,,,
